,wavelength_added,Method_ord,Publisher_ord,MolecularWeight,TPSA,Charge,AtomStereoCount,BondStereoCount,CovalentUnitCount,nAcid,naAromAtom,nB,nN,nS,nP,nF,nCl,nBr,nI,ATSC3c,ATSC5c,ATSC6c,ATSC7c,ATSC8c,ATSC3m,ATSC5m,ATSC6m,ATSC8m,MATS1s,nBondsT,C2SP1,C3SP3,C4SP3,VE3_Dt,MDEC-11,MDEC-44,MDEN-11,MDEN-12,n3Ring,n4Ring,n7Ring,n8Ring,n10Ring,nG12Ring,nF4Ring,nF6Ring,nF7Ring,nF11Ring,nF12Ring,nFG12Ring,n3HeteroRing,n10HeteroRing,nF4HeteroRing
190,0.3691813804173355,0.0,0.0,0.05325995577565683,0.18922155688622758,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004666328945366859,0.8644690592575166,0.9807682461805686,0.006180231607627994,0.651748118820029,0.7165348942682764,0.8561131887163423,0.9148475303146879,0.9250732195167286,0.07783088691951989,0.0,0.0,0.0,0.0,0.942220952977796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,0.19133226324237562,0.0,0.0,0.017414218196974945,0.027544910179640718,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045958894294067095,0.8646303725873559,0.9808037090336561,0.006180231607627994,0.651748118820029,0.7059044517264358,0.8579655132421564,0.9206891367187479,0.9250732195167286,0.7376794546771912,0.0,0.0,0.0,0.0,0.9328205880733903,0.02323590505235556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,0.3691813804173355,0.0,0.0,0.061613835296112356,0.10538922155688624,0.75,0.0,0.0,0.0,0.0,0.30000000000000004,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.004588648897023193,0.8653292651985741,0.9808768926750481,0.005211415925038832,0.6682340410577636,0.6781081120451027,0.8780298246498293,0.9105510709858932,0.9294069727930351,0.6599613619838152,0.0,0.0,0.0,0.0,0.9694856786407295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,0.3691813804173355,0.3333333333333333,0.5,0.009265211831777946,0.07125748502994013,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0047700231898462975,0.8644690592575166,0.9807682461805686,0.006180231607627994,0.651748118820029,0.7153395224420197,0.8561131887163423,0.9148475303146879,0.9250732195167286,0.5881951197831855,1.0,0.25,0.0,0.0,0.9837392313055874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,0.3691813804173355,0.6666666666666666,0.0,0.15735671242167135,0.344311377245509,0.75,0.0,0.0,0.0,1.0,0.30000000000000004,0.0,0.0,0.0,0.5,0.2222222222222222,0.0,0.0,0.0,0.005526068875077413,0.8627840359567501,0.9800341233995369,0.007441885220541996,0.6485278873392494,0.8472444751821735,0.7863253269611847,0.9379148762302171,0.874112963044877,0.6615064945306721,0.0,0.0,0.0,0.0,0.6891434339996863,0.0,0.00367341710544352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,0.3691813804173355,0.3333333333333333,0.0,0.1188900113739924,0.21946107784431138,0.75,0.047619047619047616,0.0,0.0,0.25,0.15000000000000002,0.0,0.375,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.004434002991909748,0.863005023316164,0.9796204259210882,0.008050402076643072,0.6486478540299268,0.7254496937762756,0.8927060601712908,0.8611990299719511,0.9010597157201441,0.8099205115753094,0.0,0.0,0.0,0.0,0.9619283089454055,0.009294362020942214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
196,0.3691813804173355,0.0,0.0,0.07478223396514332,0.055389221556886234,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003826555580583894,0.861008850264911,0.9815250236296987,0.0057377494293050025,0.6577666724126772,0.5707877365544931,0.6221095102236509,0.9699308233651945,1.0,0.030718947995393764,0.0,0.0,0.0,0.0,0.8513507589018751,0.6791635372753866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,0.3691813804173355,0.3333333333333333,0.0,0.021674166908040214,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004666153929663702,0.8644656323280234,0.9807573439352897,0.00622173615435629,0.651748118820029,0.714305047966444,0.8540879837026247,0.9139333774096773,0.9250732195167286,0.5890729392411556,0.0,0.0,0.0,0.0,0.922636859426951,0.018588724041884438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,0.3691813804173355,0.6666666666666666,0.5,0.019443875352346505,0.10209580838323354,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004666328945366859,0.8644690592575166,0.9807682461805686,0.006180231607627994,0.651748118820029,0.7165348942682764,0.8561131887163423,0.9148475303146879,0.9250732195167286,0.8410422364568183,0.0,0.0,0.0,0.0,0.9539647082706021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,0.3691813804173355,0.3333333333333333,0.0,0.012461939512967058,0.06047904191616767,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004717915300816693,0.8646881717146125,0.9807682461805686,0.006180231607627994,0.651748118820029,0.7181274715500311,0.8608364186041674,0.9148475303146879,0.9250732195167286,0.7107881872792802,0.0,0.0,0.0,0.0,0.9837392313055874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
